data cutremur,year,month,day,minute,lat,long,depth,Mw,Type,Qual
1/3/1900,1900,1,3,38:06.0,46.5,27.3,9.9,3.2,Minor,Q=D
1/29/1900,1900,1,29,57:40.0,46,21.2,9.9,4.5,Light,Q=D
1/31/1900,1900,1,31,40:11.6,46.5,27.3,9.9,5.5,Moderate,Q=D
6/22/1900,1900,6,22,51:23.0,44.3,26.3,9.9,2.6,Negligible,Q=D
6/23/1900,1900,6,23,20:25.0,45,24.1,9.9,4.2,Light,Q=D
11/19/1900,1900,11,19,12:00.0,44.9,28.4,9.9,4.2,Light,Q=D
2/16/1901,1901,2,16,12:41.0,44.93,26.31,30,3.9,Minor,Q=D
3/30/1901,1901,3,30,01:32.9,44.3,22.1,20,4.1,Light,Q=D
3/31/1901,1901,3,31,29:29.6,43.6,28.7,30,5,Moderate,Q=D
4/2/1901,1901,4,2,21:44.8,45.5,20.7,18,5,Moderate,Q=D
4/7/1901,1901,4,7,59:18.9,44.4,23.3,9.9,2.6,Negligible,Q=D
6/4/1901,1901,6,4,39:50.8,45.7,27.2,9.9,3.2,Minor,Q=D
9/23/1901,1901,9,23,49:59.4,45.7,26.6,130,5.7,Moderate,Q=D
11/15/1901,1901,11,15,30:02.1,45.4,28.1,9.9,4.5,Light,Q=D
12/12/1901,1901,12,12,58:26.0,47.9,23.1,2,3.7,Minor,Q=D
1/21/1902,1902,1,21,00:42.0,45.8,21.5,5,3.8,Minor,Q=D
3/1/1902,1902,3,1,22:54.5,47.9,24,1,4.1,Light,Q=D
3/11/1902,1902,3,11,54:20.5,45.7,26.6,100,5.9,Moderate,Q=D
5/7/1902,1902,5,7,06:06.5,47.8,26.6,9.9,3.2,Minor,Q=D
6/27/1902,1902,6,27,04:29.6,44.3,23.8,9.9,3.2,Minor,Q=D
10/17/1902,1902,10,17,33:00.3,45.2,26.8,9.9,3.5,Minor,Q=D
12/23/1902,1902,12,23,37:26.0,45.9,27.1,9.9,3.2,Minor,Q=D
1/20/1903,1903,1,20,33:23.5,47.8,26.6,9.9,4.1,Light,Q=D
1/22/1903,1903,1,22,35:00.0,47.8,26.6,9.9,3.2,Minor,Q=D
2/1/1903,1903,2,1,59:54.0,44.82,25.92,30,3.2,Minor,Q=D
2/23/1903,1903,2,23,23:49.1,45.6,27.7,9.9,3.5,Minor,Q=D
4/11/1903,1903,4,11,22:53.9,45,26,9.9,2.6,Negligible,Q=D
6/8/1903,1903,6,8,23:53.4,45.5,26.8,120,5.9,Moderate,Q=D
7/20/1903,1903,7,20,47:01.3,45.6,21.3,6,4,Light,Q=D
9/13/1903,1903,9,13,05:52.9,45.7,26.6,70,6.3,Strong,Q=D
2/6/1904,1904,2,6,15:04.0,45.7,26.6,75,6.6,Strong,Q=D
4/3/1904,1904,4,3,51:13.9,44.9,28.4,9.9,3.2,Minor,Q=D
5/10/1904,1904,5,10,53:52.0,46.3,27.2,9.9,3.2,Minor,Q=D
6/6/1904,1904,6,6,46:29.4,44.1,27.3,30,4.7,Light,Q=D
7/21/1904,1904,7,21,38:39.6,45.7,27.2,9.9,3.2,Minor,Q=D
9/24/1904,1904,9,24,01:28.1,46.2,27.2,9.9,3.2,Minor,Q=D
11/3/1904,1904,11,3,05:20.9,45.3,25.2,9.9,3.2,Minor,Q=D
12/12/1904,1904,12,12,06:22.2,45,23,9.9,3.2,Minor,Q=D
2/8/1905,1905,2,8,31:37.9,46.6,21.2,9.9,3.8,Minor,Q=D
3/15/1905,1905,3,15,25:35.0,45.8,25.7,9.9,3.2,Minor,Q=D
4/11/1905,1905,4,11,22:54.9,45.8,21.3,9.9,2.9,Negligible,Q=D
6/11/1905,1905,6,11,00:32.9,45.8,27.7,9.9,3.5,Minor,Q=D
8/5/1905,1905,8,5,08:18.5,44.3,26.3,9.9,2.6,Negligible,Q=D
11/8/1905,1905,11,8,18:58.8,46.2,27.7,9.9,4.2,Light,Q=D
11/9/1905,1905,11,9,07:52.1,45,23.3,9.9,0,Negligible,Q=D
11/13/1905,1905,11,13,45:22.0,45,23.3,9.9,0,Negligible,Q=D
11/18/1905,1905,11,18,18:22.8,44.2,26.2,9.9,3.2,Minor,Q=D
11/26/1905,1905,11,26,37:15.8,45.8,27.4,9.9,2.6,Negligible,Q=D
1/11/1906,1906,1,11,10:18.2,46.2,27.7,9.9,3.2,Minor,Q=D
2/8/1906,1906,2,8,18:47.6,46.7,27.2,9.9,3.2,Minor,Q=D
3/5/1906,1906,3,5,03:31.7,46.3,26.6,9.9,3.2,Minor,Q=D
3/15/1906,1906,3,15,00:31.3,46.3,26.6,9.9,2.6,Negligible,Q=D
4/13/1906,1906,4,13,56:25.5,44.9,28.7,9.9,3.2,Minor,Q=D
4/29/1906,1906,4,29,53:16.4,47.3,22.1,10,4.2,Light,Q=C
5/23/1906,1906,5,23,37:47.2,46.3,26.6,9.9,3.2,Minor,Q=D
6/1/1906,1906,6,1,29:10.2,44.1,27.3,9.9,3.2,Minor,Q=D
6/2/1906,1906,6,2,55:46.7,45.2,28.8,9.9,4.2,Light,Q=D
10/17/1906,1906,10,17,34:07.9,46.6,27.3,30,4.9,Light,Q=D
11/27/1906,1906,11,27,18:28.3,44.1,27.3,9.9,3.2,Minor,Q=D
1/16/1907,1907,1,16,52:42.3,44.9,21.7,9.9,2.3,Negligible,Q=D
3/10/1907,1907,3,10,56:26.9,45.5,21.1,9.9,3.8,Minor,Q=D
6/9/1907,1907,6,9,23:43.8,44.72,27.43,30,2.6,Negligible,Q=D
6/9/1907,1907,6,9,37:51.8,45.9,25.8,9.9,3.2,Minor,Q=D
8/13/1907,1907,8,13,50:58.6,44.42,26.15,15,2.6,Negligible,Q=D
11/24/1907,1907,11,24,19:16.6,45.6,26.8,9.9,4.5,Light,Q=D
12/28/1907,1907,12,28,46:36.8,45.5,26.6,9.9,3.2,Minor,Q=D
3/13/1908,1908,3,13,28:03.9,45.5,27.9,25,4.5,Light,Q=D
3/20/1908,1908,3,20,39:18.0,45,21.7,9.9,3.2,Minor,Q=D
8/9/1908,1908,8,9,40:48.9,44.1,27.3,9.9,3.2,Minor,Q=D
10/6/1908,1908,10,6,26:07.8,45.5,26.5,125,7.1,Major,Q=C
5/31/1909,1909,5,31,31:33.9,44.1,27.3,9.9,3.2,Minor,Q=D
6/16/1909,1909,6,16,54:57.2,46.6,27,9.9,3.2,Minor,Q=D
6/24/1909,1909,6,24,11:00.3,45.8,27.7,9.9,3.9,Minor,Q=D
8/31/1909,1909,8,31,09:23.0,45.1,21.8,20,4.4,Light,Q=C
1/6/1910,1910,1,6,28:21.2,45,23.3,9.9,3.2,Minor,Q=D
1/14/1910,1910,1,14,39:53.0,44.3,26.3,9.9,2.6,Negligible,Q=D
3/2/1910,1910,3,2,46:39.0,46.2,27.7,9.9,3.2,Minor,Q=D
6/23/1910,1910,6,23,07:36.0,46.2,27.7,9.9,3.2,Minor,Q=D
8/8/1910,1910,8,8,43:20.0,46.5,21.6,10,4.3,Light,Q=D
10/11/1910,1910,10,11,30:51.0,44.9,22.4,7,4.3,Light,Q=C
10/13/1910,1910,10,13,21:18.0,44.5,24.4,9.9,3.2,Minor,Q=D
11/7/1910,1910,11,7,42:47.4,44.3,26.3,9.9,2.6,Negligible,Q=D
1/12/1911,1911,1,12,21:13.5,44.1,27.3,9.9,3.2,Minor,Q=D
3/18/1911,1911,3,18,13:05.1,48,23.9,6,4,Light,Q=D
4/30/1911,1911,4,30,39:24.8,45.2,24.3,9.9,3.2,Minor,Q=D
5/31/1911,1911,5,31,28:46.2,44.8,21.7,9.9,2.3,Negligible,Q=D
5/31/1911,1911,5,31,18:55.1,44.8,21.7,9.9,2.9,Negligible,Q=D
7/11/1911,1911,7,11,14:22.3,46.5,21.6,3,3,Minor,Q=D
8/15/1911,1911,8,15,01:42.6,46.2,27.7,9.9,3.2,Minor,Q=D
8/19/1911,1911,8,19,54:36.8,46.2,27.7,9.9,3.2,Minor,Q=D
9/26/1911,1911,9,26,35:40.0,44.8,21.7,9.9,2.9,Negligible,Q=D
9/27/1911,1911,9,27,13:55.0,44.7,21.6,9.9,2.3,Negligible,Q=D
10/18/1911,1911,10,18,39:22.9,46.8,23.1,9.9,2.9,Negligible,Q=D
11/17/1911,1911,11,17,40:50.0,45.2,24.3,9.9,4.5,Light,Q=D
3/3/1912,1912,3,3,16:54.3,45.2,24.3,9.9,4.2,Light,Q=D
3/9/1912,1912,3,9,39:54.0,45.2,24.3,9.9,4.5,Light,Q=D
4/16/1912,1912,4,16,00:11.0,45.2,21.9,9.9,4.1,Light,Q=D
5/12/1912,1912,5,12,46:37.0,45.8,26.6,9.9,4.1,Light,Q=D
5/25/1912,1912,5,25,29:37.0,45.8,27.1,9.9,3.9,Minor,Q=D
5/25/1912,1912,5,25,32:21.2,45.7,27.2,130,5.8,Moderate,Q=D
5/25/1912,1912,5,25,31:50.6,45.7,27.2,100,6.1,Strong,Q=D
5/25/1912,1912,5,25,24:20.0,45.7,27.2,90,6.7,Strong,Q=C
5/26/1912,1912,5,26,48:48.0,45.8,27.1,9.9,3.9,Minor,Q=D
5/27/1912,1912,5,27,58:24.0,45.9,27.4,20,4.1,Light,Q=D
5/27/1912,1912,5,27,29:16.4,45.85,27.2,9.9,4.2,Light,Q=D
6/7/1912,1912,6,7,17:09.5,45.7,26.6,100,5.9,Moderate,Q=D
6/20/1912,1912,6,20,00:51.0,45.7,27.2,9.9,3.2,Minor,Q=D
6/25/1912,1912,6,25,48:08.8,45.7,27.2,9.9,3.2,Minor,Q=D
7/9/1912,1912,7,9,43:13.3,45,23.3,9.9,4.5,Light,Q=D
7/12/1912,1912,7,12,08:50.6,46.1,27.2,9.9,4.2,Light,Q=D
7/17/1912,1912,7,17,48:51.0,45.5,26.6,9.9,3.2,Minor,Q=D
8/5/1912,1912,8,5,08:49.0,45.6,27.3,9.9,3.2,Minor,Q=D
10/12/1912,1912,10,12,03:00.8,45.9,27.1,9.9,3.2,Minor,Q=D
2/13/1913,1913,2,13,10:33.0,45,23.3,9.9,3.2,Minor,Q=D
3/11/1913,1913,3,11,38:08.2,45.6,27.8,15,4.2,Light,Q=D
3/14/1913,1913,3,14,50:43.2,45.7,26.6,120,5.9,Moderate,Q=D
4/16/1913,1913,4,16,54:48.0,45.8,21.9,9.9,3.5,Minor,Q=D
5/24/1913,1913,5,24,33:11.8,45.4,25.2,9.9,3.5,Minor,Q=D
6/9/1913,1913,6,9,56:03.0,45.7,27.1,9.9,3.9,Minor,Q=D
6/24/1913,1913,6,24,48:51.1,45.7,27.2,9.9,3.2,Minor,Q=D
7/23/1913,1913,7,23,48:24.0,45.7,26.6,130,5.7,Moderate,Q=D
5/17/1914,1914,5,17,25:00.9,46.2,27.2,9.9,3.2,Minor,Q=D
7/14/1914,1914,7,14,23:33.7,45.7,26.8,100,5.7,Moderate,Q=D
7/31/1914,1914,7,31,21:54.1,45.9,26.3,80,5.7,Moderate,Q=D
8/26/1914,1914,8,26,51:08.9,45.7,26.6,100,5.4,Moderate,Q=D
10/26/1914,1914,10,26,46:55.6,45.7,26.6,120,5.4,Moderate,Q=D
1/25/1915,1915,1,25,53:08.2,43.6,28.3,30,5,Moderate,Q=D
10/9/1915,1915,10,9,09:27.8,45.4,21.1,4,4.3,Light,Q=D
10/16/1915,1915,10,16,21:01.1,45.5,26.6,9.9,3.9,Minor,Q=D
10/19/1915,1915,10,19,28:07.4,45.4,21.1,5,4.8,Light,Q=D
10/27/1915,1915,10,27,17:14.0,45.5,21.1,5,4.6,Light,Q=D
1/25/1916,1916,1,25,00:45.9,45.4,24.2,9.9,0,Negligible,Q=D
1/26/1916,1916,1,26,35:22.0,45.4,24.2,15,4.4,Light,Q=D
1/26/1916,1916,1,26,47:55.1,45.4,24.2,15,5,Moderate,Q=D
1/26/1916,1916,1,26,13:04.0,45.4,24.2,10,5.2,Moderate,Q=D
1/26/1916,1916,1,26,08:37.7,45.4,24.6,21,6.4,Strong,Q=C
2/1/1916,1916,2,1,50:13.0,45.2,24.3,9.9,3.9,Minor,Q=D
2/4/1916,1916,2,4,08:42.0,45,23.8,9.9,3.2,Minor,Q=D
2/12/1916,1916,2,12,27:06.3,44.8,23.2,9.9,3.9,Minor,Q=D
5/18/1916,1916,5,18,21:08.7,44.85,27,9.9,3.2,Minor,Q=D
3/15/1917,1917,3,15,27:16.4,46,26.5,130,5.9,Moderate,Q=D
5/19/1917,1917,5,19,33:11.7,45.7,26.6,150,5.9,Moderate,Q=D
7/11/1917,1917,7,11,44:56.5,45.7,26.6,130,5.9,Moderate,Q=D
2/25/1918,1918,2,25,25:27.4,45.7,26.6,120,5.9,Moderate,Q=D
4/18/1919,1919,4,18,37:29.7,46,25,9.9,4.1,Light,Q=D
4/18/1919,1919,4,18,52:50.0,45.7,26.8,100,6.1,Strong,Q=D
8/9/1919,1919,8,9,05:48.0,45.7,26.6,120,6,Strong,Q=D
10/22/1921,1921,10,22,21:01.6,45.7,26.6,100,5.3,Moderate,Q=D
3/24/1922,1922,3,24,01:37.3,45,22,9.9,4.1,Light,Q=D
5/6/1923,1923,5,6,41:56.7,45.2,24.2,9.9,3.2,Minor,Q=D
5/27/1923,1923,5,27,12:10.8,44.6,28.6,9.9,4.2,Light,Q=D
7/5/1923,1923,7,5,19:07.3,45.7,24.2,9.9,3.5,Minor,Q=D
7/23/1923,1923,7,23,47:30.0,45,29,9.9,3.5,Minor,Q=D
9/10/1923,1923,9,10,18:29.8,45.7,26.7,9.9,3.2,Minor,Q=D
9/18/1923,1923,9,18,27:13.3,45.7,26.6,100,4.7,Light,Q=D
8/12/1924,1924,8,12,02:15.2,45,22,9.9,0,Negligible,Q=D
12/25/1925,1925,12,25,03:44.4,45.7,26.6,130,6.1,Strong,Q=D
6/27/1926,1926,6,27,46:02.0,48,23.72,4,2.8,Negligible,Q=D
6/28/1926,1926,6,28,50:59.0,48.02,23.71,4,3.4,Minor,Q=D
8/10/1926,1926,8,10,47:51.3,48.02,23.7,5,4,Light,Q=D
5/31/1927,1927,5,31,06:49.4,44.9,21.7,16,4.4,Light,Q=C
7/24/1927,1927,7,24,49:11.6,45.7,26.6,120,5.9,Moderate,Q=D
9/28/1927,1927,9,28,35:54.6,45.4,20.9,22,4,Light,Q=C
10/31/1927,1927,10,31,34:34.6,44.85,26.7,5,3.8,Minor,Q=D
3/30/1928,1928,3,30,24:01.4,45.9,26.5,120,6,Strong,Q=C
11/23/1928,1928,11,23,55:27.1,45.7,26.6,150,5.7,Moderate,Q=C
5/20/1929,1929,5,20,26:52.1,45.8,26.5,100,6,Strong,Q=C
5/22/1929,1929,5,22,50:40.5,45.8,27.4,9.9,3.9,Minor,Q=D
11/1/1929,1929,11,1,43:45.6,45.9,26.5,160,6.1,Strong,Q=C
5/20/1930,1930,5,20,54:16.7,44.5,26.6,9.9,0,Negligible,Q=D
3/13/1932,1932,3,13,50:55.1,45.7,26.6,120,5.7,Moderate,Q=D
5/27/1932,1932,5,27,21:35.0,45.7,26.6,120,6,Strong,Q=D
9/7/1932,1932,9,7,18:50.6,45.7,26.6,120,5.8,Moderate,Q=D
1/18/1933,1933,1,18,20:04.4,45,22,9.9,3.5,Minor,Q=D
2/2/1934,1934,2,2,16:28.5,45.2,26.2,140,6,Strong,Q=D
3/29/1934,1934,3,29,20:32.2,45.8,26.5,90,6.6,Strong,Q=C
12/29/1934,1934,12,29,57:46.8,45.7,26.6,99.9,5,Moderate,Q=D
2/3/1935,1935,2,3,26:51.6,45.7,26.6,99.9,5,Moderate,Q=D
7/13/1935,1935,7,13,17:57.0,45.7,26.6,99.9,5.2,Moderate,Q=D
7/13/1935,1935,7,13,04:58.4,45.3,26.6,140,6,Strong,Q=D
8/22/1935,1935,8,22,15:49.7,48.2,23.52,6,3.5,Minor,Q=D
9/5/1935,1935,9,5,24:38.1,45.8,26.7,130,6,Strong,Q=D
5/10/1936,1936,5,10,21:23.4,45.7,26.6,99.9,4.5,Light,Q=D
5/14/1936,1936,5,14,39:50.8,45.7,26.6,99.9,5,Moderate,Q=D
5/17/1936,1936,5,17,35:33.3,45.3,26.3,140,6,Strong,Q=D
5/22/1936,1936,5,22,16:23.2,45.7,26.6,99.9,4.5,Light,Q=D
9/6/1936,1936,9,6,20:58.6,45.7,21.1,5,4.8,Light,Q=C
10/31/1936,1936,10,31,22:45.0,45.7,26.6,150,5,Moderate,Q=D
11/1/1936,1936,11,1,59:16.4,45.7,26.6,75,5,Moderate,Q=D
1/26/1937,1937,1,26,06:08.1,45.7,26.6,99.9,5.4,Moderate,Q=D
5/27/1937,1937,5,27,07:22.5,45.7,26.6,99.9,4.5,Light,Q=D
7/2/1937,1937,7,2,16:15.0,45.7,26.6,99.9,4,Light,Q=D
9/14/1937,1937,9,14,17:23.0,48.21,23.54,7,4.3,Light,Q=D
11/21/1937,1937,11,21,09:05.4,48.22,23.54,4,3.7,Minor,Q=D
7/4/1938,1938,7,4,37:09.2,45.7,26.6,99.9,4.7,Light,Q=D
7/8/1938,1938,7,8,26:24.6,46.1,21.1,6,4.3,Light,Q=C
7/13/1938,1938,7,13,59:23.2,45.9,26.7,120,6,Strong,Q=C
8/17/1938,1938,8,17,36:00.0,45.7,26.6,99.9,4.2,Light,Q=D
8/17/1938,1938,8,17,05:12.9,45.7,26.8,99.9,4.2,Light,Q=D
2/2/1939,1939,2,2,03:39.0,45.7,26.6,99.9,4,Light,Q=D
4/5/1939,1939,4,5,25:31.0,45.7,26.6,99.9,4,Light,Q=D
4/24/1939,1939,4,24,26:10.3,45.7,26.6,99.9,4.6,Light,Q=D
6/17/1939,1939,6,17,42:00.0,45.7,26.6,99.9,3.9,Minor,Q=D
6/30/1939,1939,6,30,33:33.4,45.7,26.6,99.9,4.5,Light,Q=D
7/28/1939,1939,7,28,48:42.0,45.7,26.6,99.9,3.9,Minor,Q=D
7/28/1939,1939,7,28,17:23.0,45.7,26.6,99.9,4.9,Light,Q=D
8/1/1939,1939,8,1,57:07.5,45.7,26.6,99.9,3.8,Minor,Q=D
8/3/1939,1939,8,3,26:39.5,45.7,26.6,99.9,4.4,Light,Q=D
9/5/1939,1939,9,5,46:04.5,45.9,26.7,120,6.2,Strong,Q=C
1/5/1940,1940,1,5,06:11.5,45.3,25.2,7,4.5,Light,Q=C
2/10/1940,1940,2,10,08:42.0,45.7,26.7,150,5.2,Moderate,Q=D
2/14/1940,1940,2,14,34:20.9,45.7,26.7,130,5,Moderate,Q=D
5/7/1940,1940,5,7,57:00.0,45.7,26.6,99.9,4.9,Light,Q=D
5/17/1940,1940,5,17,07:00.0,45.7,26.6,99.9,4.5,Light,Q=D
6/24/1940,1940,6,24,46:25.5,45.9,26.6,115,5.9,Moderate,Q=C
7/15/1940,1940,7,15,24:45.8,45.7,26.6,99.9,4.5,Light,Q=D
8/15/1940,1940,8,15,24:00.0,45.7,26.6,99.9,4.6,Light,Q=D
9/27/1940,1940,9,27,32:02.1,45.7,26.6,99.9,4,Light,Q=D
10/3/1940,1940,10,3,54:07.0,45.6,26.6,150,5.1,Moderate,Q=D
10/21/1940,1940,10,21,29:00.0,45.7,26.8,100,5,Moderate,Q=D
10/22/1940,1940,10,22,36:37.0,45.7,26.6,130,5,Moderate,Q=D
10/22/1940,1940,10,22,51:53.0,45.8,26.4,125,6.5,Strong,Q=C
11/6/1940,1940,11,6,48:23.7,45.7,26.6,99.9,4.1,Light,Q=D
11/6/1940,1940,11,6,02:50.0,45.7,26.6,130,5,Moderate,Q=D
11/8/1940,1940,11,8,14:15.9,45.5,26.2,145,5.9,Moderate,Q=D
11/10/1940,1940,11,10,25:00.0,45.7,26.6,99.9,3.9,Minor,Q=D
11/10/1940,1940,11,10,44:49.0,45.7,26.6,130,4.5,Light,Q=D
11/10/1940,1940,11,10,11:00.0,45.7,26.6,130,4.6,Light,Q=D
11/10/1940,1940,11,10,23:00.0,45.7,26.6,130,4.8,Light,Q=D
11/10/1940,1940,11,10,36:37.0,45.7,26.6,130,4.9,Light,Q=D
11/10/1940,1940,11,10,11:50.1,45.7,26.6,130,4.9,Light,Q=D
11/10/1940,1940,11,10,57:00.0,45.7,26.6,130,5,Moderate,Q=D
11/10/1940,1940,11,10,15:00.0,45.7,26.6,130,5,Moderate,Q=D
11/10/1940,1940,11,10,39:00.0,45.8,26.7,150,7.7,Major,Q=C
11/11/1940,1940,11,11,48:35.0,46,26.8,130,5.9,Moderate,Q=C
11/12/1940,1940,11,12,58:00.0,45.7,26.6,130,4.6,Light,Q=D
11/12/1940,1940,11,12,31:13.7,45.7,26.6,130,4.7,Light,Q=D
11/13/1940,1940,11,13,58:00.0,45.7,26.6,99.9,4.4,Light,Q=D
11/13/1940,1940,11,13,17:00.0,45.7,26.6,130,4.6,Light,Q=D
11/13/1940,1940,11,13,51:00.0,45.7,26.6,130,5.2,Moderate,Q=D
11/14/1940,1940,11,14,57:34.4,45.7,26.6,130,4.9,Light,Q=D
11/14/1940,1940,11,14,49:00.0,45.7,26.6,130,5.3,Moderate,Q=D
11/15/1940,1940,11,15,38:00.0,45.7,26.6,99.9,4.4,Light,Q=D
11/16/1940,1940,11,16,56:00.0,45.7,26.6,130,5,Moderate,Q=D
11/17/1940,1940,11,17,16:57.0,45.7,26.6,130,5.1,Moderate,Q=D
11/19/1940,1940,11,19,15:16.0,46,26.5,110,5.7,Moderate,Q=C
11/20/1940,1940,11,20,58:00.0,45.7,26.6,99.9,4,Light,Q=D
11/20/1940,1940,11,20,08:00.0,45.7,26.6,99.9,4,Light,Q=D
11/20/1940,1940,11,20,29:00.0,45.7,26.6,99.9,4.4,Light,Q=D
11/21/1940,1940,11,21,30:00.0,45.7,26.6,99.9,3.8,Minor,Q=D
11/21/1940,1940,11,21,58:00.0,45.8,26.6,130,4.9,Light,Q=D
11/22/1940,1940,11,22,00:00.0,45.7,26.6,99.9,4.1,Light,Q=D
11/22/1940,1940,11,22,35:00.0,45.7,26.6,130,5,Moderate,Q=D
11/23/1940,1940,11,23,55:00.0,45.8,26.8,150,5.7,Moderate,Q=C
11/24/1940,1940,11,24,25:00.0,45.7,26.6,99.9,4.1,Light,Q=D
11/25/1940,1940,11,25,40:00.0,45.7,26.6,99.9,3.9,Minor,Q=D
11/25/1940,1940,11,25,40:14.6,45.7,26.6,99.9,3.9,Minor,Q=D
11/27/1940,1940,11,27,54:00.0,45.7,26.6,130,5,Moderate,Q=D
12/1/1940,1940,12,1,31:48.5,45.7,26.6,130,5.5,Moderate,Q=D
12/6/1940,1940,12,6,25:00.0,45.8,26.6,130,4.8,Light,Q=D
12/10/1940,1940,12,10,31:00.0,45.7,26.6,130,5.3,Moderate,Q=D
12/22/1940,1940,12,22,08:00.0,45.7,26.6,99.9,3.9,Minor,Q=D
1/6/1941,1941,1,6,40:00.0,45.7,26.6,99.9,4.7,Light,Q=D
1/12/1941,1941,1,12,16:00.0,45.7,26.6,99.9,4.3,Light,Q=D
1/13/1941,1941,1,13,19:00.0,45.7,26.6,99.9,3.9,Minor,Q=D
1/13/1941,1941,1,13,26:43.3,45.7,26.6,99.9,3.9,Minor,Q=D
1/29/1941,1941,1,29,29:32.1,45.7,26.6,130,5.5,Moderate,Q=D
2/2/1941,1941,2,2,48:00.0,45.7,26.6,99.9,4.3,Light,Q=D
2/11/1941,1941,2,11,41:00.0,45.7,26.6,99.9,4.6,Light,Q=D
2/13/1941,1941,2,13,46:00.0,45.7,26.6,99.9,4.3,Light,Q=D
3/9/1941,1941,3,9,42:00.0,45.7,26.6,99.9,3.8,Minor,Q=D
3/12/1941,1941,3,12,53:00.0,45.7,26.6,99.9,4.7,Light,Q=D
3/16/1941,1941,3,16,35:00.0,45.7,26.6,130,5,Moderate,Q=D
4/4/1941,1941,4,4,28:00.0,45.7,26.6,130,5,Moderate,Q=D
4/24/1941,1941,4,24,09:00.0,45.7,26.6,99.9,3.8,Minor,Q=D
5/14/1941,1941,5,14,05:00.0,45.7,26.6,99.9,4.9,Light,Q=D
5/19/1941,1941,5,19,08:00.0,45.7,26.6,99.9,4.8,Light,Q=D
6/27/1941,1941,6,27,06:00.0,45.7,26.6,130,5.1,Moderate,Q=D
7/3/1941,1941,7,3,40:00.0,45.7,26.6,99.9,4.9,Light,Q=D
7/25/1941,1941,7,25,09:00.0,45.7,26.6,99.9,4.6,Light,Q=D
7/29/1941,1941,7,29,52:00.0,45.7,26.6,99.9,4.5,Light,Q=D
8/30/1941,1941,8,30,22:00.0,45.8,20.8,7,4.8,Light,Q=C
9/3/1941,1941,9,3,59:00.0,45.7,26.6,99.9,4.1,Light,Q=D
9/5/1941,1941,9,5,53:00.0,45.7,26.6,130,5.1,Moderate,Q=D
9/26/1941,1941,9,26,49:00.0,45.7,26.6,99.9,4.6,Light,Q=D
10/1/1941,1941,10,1,15:00.0,45.8,21.3,9.9,0,Negligible,Q=D
11/4/1941,1941,11,4,07:00.0,45.7,26.6,99.9,4.1,Light,Q=D
12/10/1941,1941,12,10,52:00.0,45.7,26.6,130,5.3,Moderate,Q=D
3/8/1942,1942,3,8,35:00.0,45.7,26.6,99.9,4.5,Light,Q=D
3/17/1942,1942,3,17,00:00.0,45.7,26.6,130,5,Moderate,Q=D
4/13/1942,1942,4,13,28:00.0,45.7,26.5,70,5.6,Moderate,Q=D
4/27/1942,1942,4,27,36:00.0,45.7,26.6,130,5.2,Moderate,Q=D
5/5/1942,1942,5,5,59:00.0,45.7,26.6,130,5,Moderate,Q=D
6/8/1942,1942,6,8,07:00.0,45.7,26.6,99.9,4.5,Light,Q=D
7/29/1942,1942,7,29,54:00.0,45.7,26.6,130,5.4,Moderate,Q=D
8/9/1942,1942,8,9,48:00.0,45.7,26.6,99.9,4.3,Light,Q=D
8/21/1942,1942,8,21,29:00.0,45.7,26.6,99.9,4,Light,Q=D
8/27/1942,1942,8,27,35:00.0,45.8,26.5,100,4.7,Light,Q=D
9/5/1942,1942,9,5,09:00.0,45.7,26.6,99.9,4.6,Light,Q=D
9/6/1942,1942,9,6,49:00.0,45.7,26.6,99.9,3.9,Minor,Q=D
9/15/1942,1942,9,15,12:00.0,45.7,26.6,99.9,4.1,Light,Q=D
9/20/1942,1942,9,20,39:00.0,45.7,25.2,9.9,4.1,Light,Q=D
9/20/1942,1942,9,20,04:00.0,45.7,26.5,140,5.3,Moderate,Q=D
10/3/1942,1942,10,3,00:00.0,45.7,26.6,125,5,Moderate,Q=D
10/14/1942,1942,10,14,44:00.0,45.7,26.6,99.9,4.6,Light,Q=D
11/13/1942,1942,11,13,50:00.0,45.7,26.6,99.9,4.2,Light,Q=D
1/1/1943,1943,1,1,05:44.9,45.7,26.6,99.9,4,Light,Q=D
1/4/1943,1943,1,4,47:00.0,45.7,26.6,99.9,4.8,Light,Q=D
1/5/1943,1943,1,5,19:00.0,45.7,26.6,99.9,4.6,Light,Q=D
1/17/1943,1943,1,17,46:00.0,45.7,26.6,99.9,4.3,Light,Q=D
2/8/1943,1943,2,8,46:00.0,45.7,26.6,99.9,4.5,Light,Q=D
2/9/1943,1943,2,9,59:00.0,45.7,26.6,99.9,4.4,Light,Q=D
2/12/1943,1943,2,12,33:24.0,45.7,26.6,99.9,4,Light,Q=D
2/19/1943,1943,2,19,57:54.2,45.7,26.6,99.9,3.9,Minor,Q=D
4/23/1943,1943,4,23,20:00.0,45.7,26.6,99.9,4.3,Light,Q=D
4/28/1943,1943,4,28,22:00.0,45.8,27.1,100,5.9,Moderate,Q=C
5/18/1943,1943,5,18,15:29.3,45.7,26.6,120,5,Moderate,Q=D
5/19/1943,1943,5,19,34:16.1,45.7,26.6,99.9,4.3,Light,Q=D
6/3/1943,1943,6,3,35:00.0,45.7,26.6,99.9,4.3,Light,Q=D
6/20/1943,1943,6,20,16:56.3,45,23,9.9,5.2,Moderate,Q=D
